reg	node1	node2	MI	MIC	Theta	Theta_T	Theta_Tn	Sigma	Sigma_null	T	T_null	Tn	Tn_null	P	P_T	P_Tn
HOXA1	HOXA3	HOXB3	0.5151815438704368	0.26299990010688484	1.620069262723137	2.238008498324516	0.32732597223292387	0.1551945473603891	0.09433679454607662	0.480129905027727	0.2526008568064293	0.21274500092968318	0.17960530382080098	0.066	0.0262	0.3288
SMAD4	GATA1	NKX2-3	0.0	0.04809275475243666	1.004270703137949	1.0146956826520575	0.9552336940055599	0.07905349855158475	0.04844572394495691	0.2035998370137473	0.12340883977690906	0.16673590026531127	0.09545378198870724	0.1552	0.1516	0.1624
MEF2C	CDX2	GFI1B	0.0	0.027853701535955722	0.7309331312428847	0.6761680809647811	0.42136519630010005	0.034738065852535895	0.05847197556365189	0.09245763183156441	0.14966622479439592	0.0806445795421431	0.11517121401131149	0.7524	0.7338	0.615
TEAD1	IRX1	POU4F1	0.0	0.033160343743597755	0.5921462876338229	0.6285167739384102	0.4449289498315878	0.02930291671654053	0.04745636287914341	0.07063463500442779	0.12053390837551702	0.05928200442606002	0.09295820736540368	0.6968	0.7072	0.6162
MEIS1	PAX5	POU4F1	0.04325769799458623	0.09939576901240574	1.5397181996317924	1.5075422222692598	0.42119982015327007	0.11587981128471157	0.06401848267543973	0.2991181578455362	0.16530675345089704	0.16013552998546832	0.12429938585799619	0.0754	0.0758	0.2932
HOXB6	HOXA1	IRX1	0.1127116030184312	0.11927156156015473	1.2164149410429077	0.8102748920260898	1.2098049204082755	0.10369685494526504	0.06218023343699192	0.2328152638513612	0.1602527620730369	0.22540029688043095	0.12100395029678705	0.1108	0.19	0.1188
HOXB8	HOXB7	LMX1B	0.3421690373238562	0.05263562147177394	0.4758194948762779	0.5816704894244933	0.8336155546231092	0.06966830928769685	0.0877829287963742	0.17335956802347852	0.2325854495195798	0.08354102868808733	0.16743891702728086	0.6526	0.6972	0.8004
HOXB3	SIX3	TAL1	0.07174701818985074	0.056517341336207984	0.06187642007227754	0.11692084489902577	0.39760493083017506	0.04878392977230113	0.05072454296692663	0.11952359477187047	0.1290325460296533	0.06949557990837651	0.10033347922024866	0.4806	0.4972	0.6044
FOXC1	HOXA3	PPARG	0.0	0.008990749452943269	0.9771740070916197	0.968778355790195	0.6646609228751188	0.017981498905886538	0.0484825072405522	0.04495374726471635	0.12330194196463995	0.04495374726471635	0.09572571542886432	0.8296	0.8274	0.7072
HOXB2	HOXA3	RARG	0.0805318192119917	0.11713209738086561	2.7056013543324613	2.9094931352795097	3.4745154710186283	0.1365753013498887	0.05221386278174175	0.3679773351605957	0.13299552576837206	0.3679773351605957	0.10140814639047009	0.0106	0.0074	0.004
MEIS1	LHX6	TEAD1	0.11611224790659902	0.13087163329393844	1.2400543214054944	1.5052117226471307	0.6492344997689483	0.11218662621655595	0.06947833142735396	0.3170648679981285	0.1802502715804576	0.19432150025476114	0.1359738854073878	0.1132	0.0816	0.2318
GFI1B	ERG	HOXA9	0.20156014440135595	0.2044987838531024	2.290357093680135	2.2141940401592164	1.161376708526034	0.16055740252322748	0.07876009268834366	0.4170313231116425	0.20659175164352359	0.2604553565305836	0.15274711019093298	0.0228	0.028	0.1264
RELA	EGR2	KLF1	0.020491963513802336	0.015786208752272747	0.5917278141267809	0.5998481551588626	1.2649221351326017	0.031572417504545494	0.05025649458165845	0.07893104376136373	0.12792613431309524	0.0	0.09918442220200405	0.699	0.6998	0.9086
HOXA5	HOXA9	NR2F2	0.0	0.060877650752206414	0.544731367815164	0.6863455395269192	0.3611858148497678	0.06474555156965321	0.047984654079128525	0.1764251373583985	0.12196696728367551	0.12185807261569259	0.09478342453781208	0.2576	0.22	0.3058
HOXA3	HOXB5	POU4F1	0.08624301100682175	0.009463143529936647	0.9333359536652022	0.9290339286745396	1.233768303630859	0.018926287059873294	0.04816735856520602	0.04731571764968323	0.122506568558053	0.0	0.0950975976441849	0.816	0.8144	0.9008
HOXB2	HOXA7	HOXA9	1.1128225185261367	0.6894216129127072	2.780108779472693	2.7468056547693585	1.2940283921949072	0.2901064764120468	0.14542739710384045	0.8066292198883085	0.40202328826677186	0.4672725829963371	0.27875947765860976	0.006	0.006	0.109
HOXB7	HOXB6	POU4F1	0.09727825878903884	0.03928527663489896	0.09473654352983175	0.09032539710341772	0.3675892507802149	0.05777618277248824	0.06094916519079685	0.1487870943271774	0.156727365828509	0.1487870943271774	0.11804094918143387	0.4978	0.4882	0.3168
GATA1	GFI1B	MEIS1	0.03259592284416435	0.04337466143592659	0.8864611278732819	0.8109236300023297	1.2497670988864944	0.08674932287185319	0.05727934051862852	0.21687330717963293	0.14665671257514257	0.21687330717963293	0.11283382788133847	0.1744	0.189	0.1092
PPARG	KLF4	MYF6	0.0	0.09795258841605889	0.5256534334039873	0.9503603970511105	0.32653356347391177	0.06481284015728007	0.04849327441149179	0.19917969761295806	0.12304406790548086	0.06967097986957116	0.09437246598265149	0.271	0.1626	0.5616
BPTF	GATA1	HOXB5	0.0	0.009499291427549128	1.0149895271644491	0.9938544462831254	0.6849426898731912	0.016389627112981774	0.04759292911362081	0.04200097291488314	0.12082421682619174	0.04200097291488314	0.09331773637811748	0.8466	0.8408	0.7166
HOXA9	HLF	ID4	0.0	0.0043549888427246945	1.2839290830474452	1.2678354859107477	1.2471577556110285	0.008709977685449389	0.04778662721346459	0.02177494421362347	0.12142160053350606	0.0	0.09455932565519388	0.914	0.9142	0.9
CREB1	CEBPD	TP63	0.0	0.019116840921039203	0.2930555921954317	0.30717032299341296	0.04223159404099563	0.038233681842078406	0.047378611092307905	0.09558420460519601	0.12037458348324254	0.09558420460519601	0.09238193019915861	0.571	0.5696	0.4174
USF2	EGR1	ESR1	0.0	0.019051135096458262	0.561879644548159	0.5795720128328574	0.18719357337113704	0.038102270192916524	0.05652903295423314	0.0952556754822913	0.14490276779654837	0.0952556754822913	0.11069168426482179	0.6822	0.69	0.5122
NKX3-1	NR2F2	PROX1	0.0	0.016644200976921653	1.1305922828798205	1.09075570844386	0.6681467184804338	0.025209108052360985	0.06318425689888495	0.06650246743572819	0.16311974716792574	0.06650246743572819	0.12352166321047757	0.8834	0.8736	0.7256
HOXA3	IRX5	SIX3	0.1608125561260234	0.12243917308859129	1.205205482997488	0.4488718039740187	0.7543399030291047	0.15063648880958228	0.10382868511420133	0.32869909977941925	0.28119449034515703	0.2834967656635372	0.2016225490067986	0.1164	0.298	0.2046
MEF2C	EPAS1	NKX3-2	0.018903194502587706	0.050758085826431286	0.7829363927929393	0.8782787010424001	0.9517861551332105	0.07420603872009	0.050027765686156474	0.19749809576107769	0.12730436167910222	0.17205049777982406	0.09859330819643249	0.203	0.1792	0.162
HOXA9	HOXA5	POU4F1	0.19446107564878057	0.09427844770208046	0.21515229375936634	0.5064175359803295	0.08236767222270308	0.06356478538993793	0.05654869029550562	0.1875416409596915	0.14465659630210737	0.10390680030099908	0.11056549953687726	0.3792	0.2764	0.4656
HOXB5	HOXA2	POU4F1	0.11102105086582315	0.12620356651113526	4.30954492447906	4.242706759787274	4.889854392757979	0.20257162460172645	0.06097435344503499	0.5225370109509222	0.15686237408499412	0.5225370109509222	0.11824315267069065	0.0004	0.0006	0.0002
RELA	NR4A1	ZEB1	0.03233917696591959	0.01205743105617616	0.8563878628174557	0.836994985975862	0.5130796961162065	0.020931550704438567	0.047032923905662334	0.0535987129726454	0.11944711681743922	0.0535987129726454	0.09207317560135794	0.7918	0.7852	0.6454
HOXA7	GLI3	NR5A2	0.09735077386779478	0.08068831942202062	2.039669151603941	1.8620656827648667	2.3358454138386886	0.15041996614861244	0.07798378507243202	0.3813662075964461	0.20441779906895657	0.37025840965418944	0.1524682800432557	0.0346	0.0468	0.026
HOXA5	NR5A1	PBX1	0.02047279282082659	0.03448324999933483	0.1906547330468095	0.2187508149784546	1.2501614540513515	0.05295775336613107	0.04716136214470173	0.1367274739107347	0.11962525528426028	0.0	0.09263818051298509	0.3832	0.3672	0.8894
HOXA7	GATA1	SIX3	0.0	0.10012398940871145	1.6080892250615444	1.8439983542905467	1.8697748602146949	0.09881317111366314	0.04882042316126243	0.2723376970209581	0.12417028148269331	0.24039172214094862	0.09677442982785758	0.0686	0.049	0.0504
MEF2C	FOXO6	TAL1	0.0	0.0021983118809931314	1.4123068170470918	1.391177588954609	1.1003692783775438	0.004396623761986264	0.04822474936607654	0.010991559404965656	0.1227424173069735	0.010991559404965656	0.09479228756225698	0.9342	0.9342	0.8628
IRX5	FOS	HOXB8	0.0	0.07018315547060698	1.3634671377806937	1.2717973788952053	1.7255466210928705	0.09277414761586987	0.049862891381347585	0.23065140048121524	0.1269364728667685	0.23065140048121524	0.09796286528356875	0.0956	0.1074	0.0598
HOXB3	HOXA5	TP73	0.007359075244637747	0.024453469152162555	0.7517542685893253	0.8564646434798244	0.4891561687755252	0.03022686459073061	0.05441847715197429	0.06759608586293764	0.13926500039790732	0.06759608586293764	0.10665475645212684	0.7646	0.8002	0.6432
NFKB1	AR	NR4A3	0.06807865749943165	0.12643755687212616	3.4679695612784154	3.3807591004108875	3.8954331001589595	0.16419995000293344	0.05266950290952157	0.4164593161425765	0.13416886670125314	0.4164593161425765	0.10299086984246678	0.003	0.0042	0.002
HOXB7	GATA3	HOXB8	0.0	0.023085789779190336	0.35395901679546843	0.3311873853937635	0.25588843383784987	0.03654702623889708	0.04754015128811421	0.09432917751631908	0.120915434240259	0.07322940613668649	0.09263790304923769	0.5986	0.5898	0.535
PBX3	MEIS1	SIX3	0.2786621098345492	0.11908994665872888	0.12284013384564665	0.05556720577246401	0.29226011542417735	0.11015664716215594	0.10523807781781741	0.2906823153655762	0.28463307394937654	0.17036583292603913	0.20293461330189907	0.4156	0.443	0.5632
TEAD4	HNF4A	KLF5	0.03794859464814371	0.09430926977448725	0.5788464678952232	0.6434092492436244	0.662701424249916	0.07640007364598027	0.05770112055155885	0.20242394867431113	0.1479733642590348	0.16515222920557981	0.11152265680680941	0.2556	0.2386	0.223
HOXA7	HEY2	HOXB6	0.13959514759222102	0.03653848440994238	0.58434907411891	0.575688591356952	0.7942480810302284	0.06656583598235169	0.04852828507143998	0.169263142040617	0.12337190532622967	0.15583386203152205	0.09532047193298619	0.2588	0.2558	0.1948
HOXA9	HLF	HOXB6	0.0	0.022285895940094134	0.06571656326185973	0.08803085196456545	0.28557767946689516	0.04457179188018826	0.046582702838158886	0.11142947970047068	0.11838089091813508	0.11142947970047068	0.09026560610873384	0.4772	0.4802	0.3282
ZNF202	MAFB	MITF	0.15933873698660994	0.08752690516767947	0.03309861326022026	0.19456672679115392	0.28611073040786483	0.07234755227672847	0.07120555374892532	0.20297687953320542	0.1851674840859814	0.16518000661189536	0.13963267389896156	0.4468	0.3852	0.3374
EBF1	HOXB7	HOXB8	0.581465905969365	0.4798278383165237	1.395087593125212	1.1453543807735969	2.0272639104457832	0.2159162742099761	0.14383160912436493	0.5648554792450342	0.39769089561216103	0.5648554792450342	0.2755568213338538	0.0872	0.1362	0.0374
HSF1	FOXC1	NR5A1	0.0	0.0725790289764467	1.079395633843915	1.081576162600775	0.1556054015298473	0.08106819170562424	0.048137750621602665	0.20739060707386736	0.12229416696697985	0.08437720017054295	0.09620707582513185	0.1464	0.1482	0.4914
HOXA2	HOXA9	SIX3	0.1171584276466735	0.1226060358811925	1.7060519469706363	1.970981646478099	1.1799220977910767	0.12081990492723335	0.06234533185804794	0.33779977106662296	0.16044749447457018	0.22001286767927564	0.11926126705913223	0.0598	0.0414	0.1222
MECOM	HOXA9	MEIS1	0.5314550418556987	0.42614042550573644	1.8243482375594073	1.7963486808859086	2.623734422783426	0.22168151062227245	0.13425237969891243	0.6149554782449518	0.3715115804233425	0.6149554782449518	0.2567625814789086	0.0416	0.0462	0.0108
HOXA7	HOXA9	TWIST1	0.1515510070962205	0.07287772759024769	0.44189488368624963	0.2622317840966204	0.168918646544801	0.07209279342989852	0.05745550971748006	0.1700729028947534	0.14731830509597238	0.0973506596988698	0.11127538510308789	0.2906	0.3498	0.514
MEIS1	KLF1	PBX1	0.1131694815268065	0.08299570173707131	0.1044929756206793	0.34802908125049953	0.24276281366474428	0.07866603281051648	0.07503776306927921	0.2283224156333854	0.19618137946850525	0.1699710435227808	0.14783704062828856	0.4166	0.3272	0.359
GATA5	HOXB5	LMX1B	0.2548298310264787	0.19613322269813493	3.4600065770631696	3.0785639450261537	1.7635995227858232	0.2299312365930593	0.09696760556163785	0.5772016157819353	0.25956226824928746	0.0	0.18574551492307206	0.0024	0.0066	0.9894
CREB1	CEBPD	HOXA5	0.06595684832575044	0.18626538772264228	0.5303332166120366	0.8471250586673453	0.09516714464345072	0.07634398306379026	0.05879720566766859	0.22415225354853874	0.15092356008474245	0.12239941631582463	0.11445251522925332	0.2692	0.1846	0.389
HOXB1	AR	HOXB8	0.05433275348248401	0.0622871637799749	0.8068744190379997	0.7844685573735303	1.255155369601098	0.08840191418882525	0.06166888867620864	0.2263465558092279	0.1583552853695581	0.2263465558092279	0.12005950210498247	0.1988	0.2014	0.1112
HOXA1	AR	HOXA5	0.1586612480508749	0.11394469405300818	2.608823722860824	2.5727920135223794	3.0717751897657255	0.13979337970252398	0.0553281274928533	0.3584116762180023	0.141551171481986	0.3584116762180023	0.10846576623172362	0.0142	0.0146	0.0076
RELA	GLIS3	KLF2	0.0	0.053981005779251225	0.24510016341545202	0.13263367016977015	0.15924948675301384	0.055820396583682985	0.04825841974594781	0.13327270700008453	0.12268933220321264	0.10738992563742755	0.09511062139611948	0.3638	0.4018	0.3718
TCF3	GATA1	PAX5	0.0378447359037013	0.057935453861628836	0.4324314354311298	0.6140876488714259	0.8872917450991208	0.06092233548617129	0.04747549246679686	0.16989024051003354	0.12063744570325059	0.16048142689783584	0.09339850696976286	0.2902	0.2408	0.1712
HOXB3	HOXA9	HOXB6	0.4520754517607921	0.06961133251185148	1.4656415675032226	1.4065520831430545	2.0257028642201953	0.12071207461374381	0.06862691744522278	0.30914678427958653	0.17745756538811513	0.30914678427958653	0.1289338566218539	0.0806	0.089	0.0388
HOXA2	HOXA13	LMX1B	0.2865279852755567	0.03936057550482706	1.066070260588877	1.0821123352018553	0.45599742708106966	0.048462475059146644	0.0885893030060365	0.12516112951493819	0.23493672382019432	0.12516112951493819	0.17052602205114537	0.8624	0.8716	0.6434
MSX2	ID4	TBX4	0.259422763161373	0.06073067340213747	0.7959405433241041	0.8689943839323762	0.1362468753525776	0.0723407308360645	0.04761771209280701	0.19073160397199151	0.12099360678808928	0.10383412350291854	0.09350351152750494	0.1964	0.176	0.3848
HOXA13	EGR2	LMX1B	0.045737592375499236	0.014305922704768737	0.9092853369727529	0.8912486791436667	0.8497519887327205	0.019933505119603442	0.0474394271795573	0.05079440170831262	0.1203215527390687	0.030059189892781557	0.09267023781335404	0.8082	0.8038	0.7778
HOXB5	HOXA3	MECOM	0.06357121418431078	0.11637588603729836	2.3336333173941997	1.885624101574074	2.335722217541251	0.13691296804010797	0.059601860462665204	0.3162161525929448	0.15293471122490226	0.3162161525929448	0.11781055235813229	0.0246	0.0472	0.0266
MEF2C	BCL6B	FOXC1	0.14353040229682001	0.04810138109400004	0.3152689826336715	0.3810022270369683	0.08758638471086025	0.05502226190517789	0.06588936339326082	0.13581197328935213	0.1705230811795691	0.13581197328935213	0.1280382326770544	0.585	0.614	0.397
HOXA2	HOXB6	HOXB7	0.6863109245580836	0.3962623355195781	3.897357481498086	3.332950676100355	2.710699394069732	0.32317256184258303	0.1348913240370325	0.8287077914947676	0.37315482085893525	-0.10534575545370317	0.2609870855925943	0.0008	0.0036	1.0
MEIS1	LEF1	UNCX	0.0	0.005936436119218236	1.1906924216490202	1.1744648332436707	0.8453295369371031	0.011872872238436472	0.0487203785482074	0.02968218059609118	0.12376196878869783	0.02968218059609118	0.09458848286033326	0.8934	0.893	0.7816
HOXA3	PAX5	SIX3	0.0	0.06262963743098435	0.9684998787150161	0.6373987141721937	1.0414994882642155	0.0772637265218988	0.04765817428440895	0.17123494356526292	0.12098100902329516	0.17123494356526292	0.0935799183871498	0.159	0.2474	0.1518
HOXB6	GATA1	HOXB2	0.037318761695453784	0.09637123777031346	1.1852546192136355	1.1501305583038788	1.5597892632718362	0.0854741214936946	0.04891668199501356	0.21589090970111657	0.12433983891001349	0.21589090970111657	0.09625217801940375	0.1172	0.124	0.0756
HOXA5	HES1	PBX1	0.030900478460897496	0.06078715869049818	0.23833973208427195	0.016390302927757533	0.5198355485237312	0.07625824091388125	0.06802893291639026	0.1780783024480952	0.17658572004244905	0.1780783024480952	0.1322639528852299	0.3694	0.4554	0.2674
HOXA9	KLF4	POU4F1	0.0581376967057432	0.07692475876236289	1.3388285935989064	1.0447045064330045	0.7392554827169436	0.09617224040508016	0.05338589599295658	0.22284761609511827	0.13628004350379924	0.16177617771669617	0.10372742699005594	0.0988	0.1452	0.208
MEF2C	CDX2	NFIA	0.0277755669306452	0.062133286218683456	1.230501980139123	1.3062046675156955	1.290988206235103	0.09370832764290347	0.05364526680557427	0.24722189034168363	0.13684085975285773	0.0	0.10448255156897986	0.1222	0.1116	0.9196
STAT5B	GATA1	GATA2	0.14484156063097453	0.1683285295558068	0.2926286705270348	0.6220644727426119	0.05618800270749402	0.09178882442772308	0.08133905085887423	0.27340069588134575	0.21406926812802968	0.16294864200874382	0.15760325150204074	0.3482	0.2404	0.422
HOXB6	HES4	HEYL	0.0	0.13661403998354688	3.333224346724905	2.6212243782094062	3.1214664790955715	0.14796991205546872	0.04720811127574178	0.3247968582301197	0.12002081141353328	0.3247968582301197	0.09136670606463672	0.004	0.0152	0.009
LMX1B	HOXA13	HOXB7	0.3078877233883941	0.12193131885125083	1.0558437187726228	1.2003837203489622	0.26378613037734244	0.10809836920112659	0.07081178714939436	0.2957567917766466	0.18379340871858985	0.15912998928428412	0.1351422411718592	0.1486	0.1196	0.3406
POU4F2	OLIG2	TEAD4	0.0	0.08000685427578888	1.9273148907532247	2.02225452989949	0.4183179451631957	0.10989443925578209	0.04913417352830288	0.29046569919307785	0.1252119323050932	0.06350534054868406	0.0959443489621182	0.0454	0.0402	0.6
RELA	HMGA2	NKX3-1	0.11126463406499187	0.013236259160527508	0.6831321714723327	0.6860134528801265	1.2459771195631562	0.026472518321055016	0.04741590149127964	0.06618129580263754	0.12047031471238058	0.0	0.09194673394959547	0.7352	0.7352	0.8948
PBX3	HOXA7	POU4F1	0.11387858490818425	0.08923397239829303	0.2352840458148082	0.06884725150047549	1.3060895382228994	0.0500860995994948	0.057629190645855144	0.15359106310791448	0.14783553816295114	0.0058299852151431075	0.11208435342292253	0.5514	0.4322	0.9248
POU3F4	EGR1	HOXA2	0.11528860666972784	0.0719811426293342	0.39927065680288276	0.1209736733249952	0.40524068322957973	0.059116699431372835	0.046817306349677804	0.128378864459183	0.11875087230856557	0.12272300615626675	0.09213413278315179	0.307	0.3988	0.29
MEIS1	HOXA2	UNCX	0.23871774587455485	0.15992584272266538	3.1724951211591104	2.572965969241512	1.3176491371644916	0.1494350010414066	0.04977912121308257	0.33490272802252186	0.12647378643506157	0.19692781973241802	0.09661500501230931	0.0046	0.0146	0.1092
HOXA5	HOXA13	HOXB1	0.24313355689973903	0.05991299539954884	0.02833537110625758	0.41630241371650084	0.010066509444612808	0.07347596211468509	0.07447284752709418	0.15577550152636865	0.19452647277472354	0.14378947547137555	0.14471897180837565	0.4696	0.634	0.4512
E2F4	PAX5	PBX1	0.0	0.042988017612149855	1.1385679859094742	1.1000663812414673	1.4264658027930008	0.0816143105313692	0.046958042879137685	0.2060720368623783	0.11948665340838889	0.19720398566400732	0.09118100327605345	0.13	0.139	0.0906
SOX6	ID4	OLIG2	0.11419868627176699	0.0832330667169225	1.5207833373028183	1.677605114141543	0.625870260975305	0.09857237774588018	0.05122324224903643	0.26628747001484787	0.13068880545856473	0.05169477588631466	0.10018571582600505	0.0764	0.0632	0.697
E2F4	KLF4	PPARG	0.007847354281064423	0.0827842978031316	0.298915837906353	0.08909803791814551	0.37127511675414154	0.07118623788208561	0.061203266993109275	0.16518354470039665	0.1573878692837606	0.1506626617231266	0.11929426725021622	0.3464	0.4238	0.3062
HOXB7	EGR3	HOXB1	0.07119861145552253	0.05193028840029475	0.7746825763289604	0.7834066173995269	1.3286605002792913	0.08035019146241155	0.05513439720244417	0.20746303464629512	0.1410148219571893	0.0	0.10772646889675548	0.208	0.2054	0.9234
FOXC1	ID4	PBX1	0.1476290300463856	0.12518355960433447	0.2851783721318651	0.11549969523018315	0.1539207555039564	0.08055338385165378	0.09099903801559539	0.23056371286467625	0.24200772995218922	0.19082106173783253	0.17536584112015374	0.5764	0.5056	0.3902
HOXB5	HOXA9	TFCP2L1	0.012600670729544294	0.08485862166091077	0.047168706560940424	0.24712609595466442	0.6346223474799966	0.04867632905630296	0.04723401921121282	0.13953169311201252	0.11999549949044888	0.13953169311201252	0.09235096065044925	0.4338	0.3564	0.233
HOXA5	HOXB2	MEIS1	0.43303394201382295	0.24434027175810363	2.4374890949729062	1.7652444132119915	0.9701194737642057	0.2217315816350678	0.11692498099413108	0.52977173085205	0.32057700521173177	0.34311950234289434	0.22643539431019452	0.0138	0.0546	0.1642
CUX2	LHX6	POU4F1	0.09158679557308247	0.13523861317055844	0.08673427615623847	0.06747245737916216	1.0464544513128742	0.0922725275145882	0.08909908069648054	0.24429562675576344	0.23762391397108473	0.06794845526540261	0.17265523399025245	0.4216	0.4268	0.8668
HOXA7	HOXA3	POU4F1	0.08600020691336141	0.019043002512235053	0.8448032217066511	0.971958680127919	0.6376315473248323	0.023324028654054713	0.05037002575359377	0.04798299141238216	0.12837702241902105	0.04798299141238216	0.09715085933752343	0.7986	0.836	0.7016
DLX5	POU4F1	VDR	0.07280900789002454	0.09503093203185413	0.9079157371406575	0.8171407605544703	1.2804450268048608	0.0956309168909756	0.06473612332121051	0.24010711360385306	0.16716728560073302	0.2366081155914832	0.12712834908877096	0.1716	0.1926	0.1084
